state,date,icu_percent,non_icu_percent,vent_percent,non_vent_percent,beds_percent,non_beds_percent,qua_percent,non_qua_percent
Negeri Sembilan,2021-06-29,78.46153846153847,21.538461538461533,122.44897959183673,-22.448979591836732,76.29151291512916,23.70848708487084,47.55741127348643,52.44258872651357
Negeri Sembilan,2021-06-30,78.46153846153847,21.538461538461533,132.6530612244898,-32.65306122448979,77.76752767527675,22.232472324723247,58.847117794486216,41.152882205513784
Negeri Sembilan,2021-07-01,78.46153846153847,21.538461538461533,130.6122448979592,-30.612244897959187,79.4280442804428,20.571955719557195,52.10855949895616,47.89144050104384
Negeri Sembilan,2021-07-02,78.46153846153847,21.538461538461533,126.53061224489797,-26.530612244897966,81.27306273062732,18.726937269372684,33.08848080133556,66.91151919866445
Negeri Sembilan,2021-07-03,78.46153846153847,21.538461538461533,148.9795918367347,-48.9795918367347,81.82656826568265,18.173431734317347,36.09348914858097,63.90651085141903
Negeri Sembilan,2021-07-04,73.80952380952381,26.19047619047619,95.16129032258065,4.838709677419345,84.31734317343174,15.682656826568262,38.923395445134574,61.076604554865426
Negeri Sembilan,2021-07-05,70.11494252873564,29.88505747126436,109.8360655737705,-9.836065573770497,82.84132841328413,17.15867158671587,35.472739820565906,64.5272601794341
Negeri Sembilan,2021-07-06,70.11494252873564,29.88505747126436,106.55737704918033,-6.557377049180332,79.4280442804428,20.571955719557195,35.05866114561767,64.94133885438234
Negeri Sembilan,2021-07-07,70.11494252873564,29.88505747126436,95.08196721311475,4.918032786885249,83.11808118081181,16.881918819188186,47.48098859315589,52.51901140684411
Negeri Sembilan,2021-07-08,70.11494252873564,29.88505747126436,106.55737704918033,-6.557377049180332,81.36531365313652,18.634686346863475,47.1958174904943,52.8041825095057
Negeri Sembilan,2021-07-09,70.11494252873564,29.88505747126436,118.0327868852459,-18.032786885245898,76.8450184501845,23.154981549815503,46.72053231939163,53.27946768060837
Negeri Sembilan,2021-07-10,70.11494252873564,29.88505747126436,114.75409836065573,-14.754098360655732,76.4760147601476,23.523985239852394,45.76996197718631,54.23003802281369
Negeri Sembilan,2021-07-11,70.11494252873564,29.88505747126436,119.67213114754098,-19.67213114754098,76.1070110701107,23.8929889298893,44.53422053231939,55.46577946768061
Negeri Sembilan,2021-07-12,70.11494252873564,29.88505747126436,118.0327868852459,-18.032786885245898,77.62430939226519,22.37569060773481,39.638783269961976,60.361216730038024
Negeri Sembilan,2021-07-13,70.11494252873564,29.88505747126436,133.8709677419355,-33.87096774193549,78.63720073664825,21.362799263351747,44.01140684410647,55.98859315589353
Negeri Sembilan,2021-07-14,67.03296703296702,32.96703296703298,117.74193548387098,-17.741935483870975,79.92633517495395,20.073664825046052,47.38593155893536,52.61406844106464
Negeri Sembilan,2021-07-15,67.03296703296702,32.96703296703298,82.25806451612904,17.74193548387096,83.24125230202579,16.758747697974215,52.661596958174904,47.338403041825096
Negeri Sembilan,2021-07-16,67.03296703296702,32.96703296703298,66.12903225806451,33.87096774193549,83.60957642725599,16.390423572744012,54.372623574144484,45.627376425855516
Negeri Sembilan,2021-07-17,67.03296703296702,32.96703296703298,87.09677419354838,12.903225806451616,85.54327808471454,14.456721915285456,52.138783269961976,47.861216730038024
Negeri Sembilan,2021-07-18,67.03296703296702,32.96703296703298,77.41935483870968,22.58064516129032,86.09576427255985,13.904235727440152,46.340304182509506,53.659695817490494
Negeri Sembilan,2021-07-19,67.03296703296702,32.96703296703298,87.09677419354838,12.903225806451616,88.30570902394108,11.694290976058923,51.90114068441065,48.09885931558935
Negeri Sembilan,2021-07-20,67.03296703296702,32.96703296703298,75.80645161290323,24.19354838709677,85.2670349907919,14.732965009208101,56.55893536121673,43.44106463878327
Negeri Sembilan,2021-07-21,67.03296703296702,32.96703296703298,72.58064516129032,27.41935483870968,87.29281767955801,12.707182320441987,59.173003802281364,40.826996197718636
Negeri Sembilan,2021-07-22,67.03296703296702,32.96703296703298,69.35483870967742,30.645161290322577,84.99079189686924,15.00920810313076,61.50190114068441,38.49809885931559
Negeri Sembilan,2021-07-23,67.03296703296702,32.96703296703298,70.96774193548387,29.032258064516128,86.1878453038674,13.812154696132595,57.081749049429654,42.918250950570346
Negeri Sembilan,2021-07-24,67.03296703296702,32.96703296703298,69.84126984126983,30.158730158730165,86.1878453038674,13.812154696132595,57.50950570342205,42.49049429657795
Negeri Sembilan,2021-07-25,67.03296703296702,32.96703296703298,68.25396825396825,31.746031746031747,85.72744014732965,14.272559852670355,56.70152091254753,43.29847908745247
Negeri Sembilan,2021-07-26,67.03296703296702,32.96703296703298,58.730158730158735,41.269841269841265,82.59668508287292,17.403314917127076,50,50
Negeri Sembilan,2021-07-27,70.11494252873564,29.88505747126436,74.60317460317461,25.396825396825392,83.70165745856355,16.298342541436455,46.10266159695818,53.89733840304182
Negeri Sembilan,2021-07-28,70.78651685393258,29.213483146067418,74.60317460317461,25.396825396825392,83.88581952117863,16.114180478821368,48.90684410646388,51.09315589353612
Negeri Sembilan,2021-07-29,70.78651685393258,29.213483146067418,65.07936507936508,34.920634920634924,83.97790055248619,16.02209944751381,53.70722433460075,46.29277566539925
Negeri Sembilan,2021-07-30,70.78651685393258,29.213483146067418,73.01587301587301,26.984126984126988,87.82287822878229,12.177121771217713,51.615969581749056,48.384030418250944
Negeri Sembilan,2021-07-31,70.78651685393258,29.213483146067418,79.36507936507937,20.634920634920633,91.05166051660517,8.948339483394832,51.04562737642585,48.95437262357415
Negeri Sembilan,2021-08-01,70.78651685393258,29.213483146067418,79.36507936507937,20.634920634920633,87.73062730627306,12.269372693726936,52.138783269961976,47.861216730038024
